"","country","continent","year","lifeExp","pop","gdpPercap","incr_lifeexp"
"1","Afghanistan","Asia",1952,28.801,8425333,779.4453145,0
"2","Afghanistan","Asia",1962,31.997,10267083,853.10071,3.196
"3","Afghanistan","Asia",1972,36.088,13079460,739.9811058,7.287
"4","Afghanistan","Asia",1982,39.854,12881816,978.0114388,11.053
"5","Afghanistan","Asia",1992,41.674,16317921,649.3413952,12.873
"6","Afghanistan","Asia",2002,42.129,25268405,726.7340548,13.328
"7","Algeria","Africa",1957,45.685,10270856,3013.976023,2.608
"8","Algeria","Africa",1967,51.407,12760499,3246.991771,8.33
"9","Algeria","Africa",1977,58.014,17152804,4910.416756,14.937
"10","Algeria","Africa",1987,65.799,23254956,5681.358539,22.722
"11","Algeria","Africa",1997,69.152,29072015,4797.295051,26.075
"12","Algeria","Africa",2007,72.301,33333216,6223.367465,29.224
"13","Angola","Africa",1957,31.999,4561361,3827.940465,1.984
"14","Angola","Africa",1967,35.985,5247469,5522.776375,5.97
"15","Angola","Africa",1977,39.483,6162675,3008.647355,9.468
"16","Angola","Africa",1987,39.906,7874230,2430.208311,9.891
"17","Angola","Africa",1997,40.963,9875024,2277.140884,10.948
"18","Angola","Africa",2007,42.731,12420476,4797.231267,12.716
"19","Bahrain","Asia",1952,50.939,120447,9867.084765,0
"20","Bahrain","Asia",1962,56.923,171863,12753.27514,5.984
"21","Bahrain","Asia",1972,63.3,230800,18268.65839,12.361
"22","Bahrain","Asia",1982,69.052,377967,19211.14731,18.113
"23","Bahrain","Asia",1992,72.601,529491,19035.57917,21.662
"24","Bahrain","Asia",2002,74.795,656397,23403.55927,23.856
"25","Bangladesh","Asia",1952,37.484,46886859,684.2441716,0
"26","Bangladesh","Asia",1962,41.216,56839289,686.3415538,3.732
"27","Bangladesh","Asia",1972,45.252,70759295,630.2336265,7.768
"28","Bangladesh","Asia",1982,50.009,93074406,676.9818656,12.525
"29","Bangladesh","Asia",1992,56.018,113704579,837.8101643,18.534
"30","Bangladesh","Asia",2002,62.013,135656790,1136.39043,24.529
"31","Benin","Africa",1957,40.358,1925173,959.6010805,2.135
"32","Benin","Africa",1967,44.885,2427334,1035.831411,6.662
"33","Benin","Africa",1977,49.19,3168267,1029.161251,10.967
"34","Benin","Africa",1987,52.337,4243788,1225.85601,14.114
"35","Benin","Africa",1997,54.777,6066080,1232.975292,16.554
"36","Benin","Africa",2007,56.728,8078314,1441.284873,18.505
"37","Botswana","Africa",1957,49.618,474639,918.2325349,1.996
"38","Botswana","Africa",1967,53.298,553541,1214.709294,5.676
